feature,baseline_pr_auc,permuted_pr_auc,importance
txn_count_24h,0.34230965693442705,0.03441362407127356,0.3078960328631535
failed_txn_count_24h,0.34230965693442705,0.2743068603930903,0.06800279654133673
international_ip_risk,0.34230965693442705,0.27928047793336624,0.06302917900106081
behavioral_risk_composite,0.34230965693442705,0.3276809671482189,0.014628689786208127
international_merchant_risk,0.34230965693442705,0.3287053048375985,0.013604352096828531
max_risk_score,0.34230965693442705,0.33746477584641416,0.004844881088012898
amount_deviation_from_user_mean,0.34230965693442705,0.3387449482240662,0.0035647087103608532
transaction_amount,0.34230965693442705,0.33876291249434315,0.0035467444400839043
international_amount,0.34230965693442705,0.33914508858388587,0.003164568350541186
txn_count_1h,0.34230965693442705,0.3392117966722304,0.003097860262196661
avg_monthly_spend,0.34230965693442705,0.34000339173576843,0.002306265198658619
transaction_dayofweek,0.34230965693442705,0.3414349490484364,0.0008747078859906443
international_velocity,0.34230965693442705,0.3414674006905372,0.0008422562438898384
geo_distance_from_last_txn,0.34230965693442705,0.3415139448994982,0.0007957120349288416
transaction_day,0.34230965693442705,0.34151438230948883,0.0007952746249382248
kyc_level,0.34230965693442705,0.3416021763007893,0.0007074806336377359
account_age_days,0.34230965693442705,0.3421607568943906,0.00014890004003642598
credit_score_band,0.34230965693442705,0.3421730192425833,0.00013663769184374397
txn_count_difference,0.34230965693442705,0.34217484447192864,0.0001348124624984126
abs_amount_deviation,0.34230965693442705,0.3422280408615396,8.16160728874804e-05
transaction_hour,0.34230965693442705,0.3422565787915724,5.307814285465673e-05
log_geo_distance,0.34230965693442705,0.34230965693442705,0.0
is_international,0.34230965693442705,0.34230965693442705,0.0
log_transaction_amount,0.34230965693442705,0.34230965693442705,0.0
is_weekend,0.34230965693442705,0.34230965693442705,0.0
transaction_month,0.34230965693442705,0.34230965693442705,0.0
is_late_night,0.34230965693442705,0.34230965693442705,0.0
merchant_risk_score,0.34230965693442705,0.3423966172649169,-8.696033048982699e-05
device_type,0.34230965693442705,0.3429408579816216,-0.0006312010471945517
is_business_hours,0.34230965693442705,0.3430198426612228,-0.0007101857267957645
payment_channel,0.34230965693442705,0.3431195334865471,-0.000809876552120059
amount_to_monthly_spend,0.34230965693442705,0.34312755619198654,-0.0008178992575594846
failed_txn_ratio_24h,0.34230965693442705,0.3432996837898358,-0.000990026855408721
txn_velocity_ratio,0.34230965693442705,0.3441534232880496,-0.0018437663536225446
amount_minus_monthly_spend,0.34230965693442705,0.3442380673169612,-0.0019284103825341625
combined_network_merchant_risk,0.34230965693442705,0.3442666781101425,-0.0019570211757154454
ip_risk_score,0.34230965693442705,0.34493625547500223,-0.0026265985405751757
mean_risk_score,0.34230965693442705,0.34529910011118886,-0.002989443176761808
