threshold,precision,recall,f1
0.005,0.01904581597879591,1.0,0.03737970497529075
0.0075,0.01904581597879591,1.0,0.03737970497529075
0.01,0.01904581597879591,1.0,0.03737970497529075
0.02,0.01904617656525114,1.0,0.03738039944263818
0.03,0.01904617656525114,1.0,0.03738039944263818
0.05,0.019048340370742052,1.0,0.03738456678868058
0.075,0.01921678214600161,0.9980119284294234,0.03770750394351386
0.1,0.019379694881127545,0.9950298210735586,0.03801891450491853
0.15,0.02036994652628951,0.9731610337972167,0.0399046202131779
0.2,0.02259860126552167,0.9443339960238568,0.044140879100455346
0.25,0.025676975945017184,0.9284294234592445,0.04997191086380782
0.3,0.03085193809067251,0.8956262425447317,0.05964912280701754
0.4,0.043067334218861754,0.8379721669980119,0.08192419825072886
0.5,0.05933166628779268,0.7783300198807157,0.11025839611349715
