dataset,top_k_percentage,transactions_reviewed,fraud_found,precision,recall
Validation,0.01,529,272,0.5141776937618148,0.27037773359840955
Validation,0.02,1057,370,0.3500473036896878,0.36779324055666
Validation,0.05,2641,561,0.2124195380537675,0.5576540755467196
Validation,0.1,5282,657,0.1243847027641045,0.6530815109343936
Validation,0.2,10564,756,0.0715638015903067,0.7514910536779325
External_Test,0.01,999,544,0.5445445445445446,0.27433182047402926
External_Test,0.02,1998,766,0.3833833833833834,0.38628340897629854
External_Test,0.05,4995,1096,0.21941941941941942,0.5526979324256177
External_Test,0.1,9989,1296,0.12974271698868756,0.653555219364599
External_Test,0.2,19978,1476,0.07388126939633596,0.7443267776096822
